Product Name,Brand,Category,Key Ingredients,Full Ingredient Highlights,Skin Type,Primary Benefits,Side Effects / Cautions,Rating (5),Price Range (USD),Size,Pregnancy Safe,Comedogenic Risk,Routine Step,Frequency,Key Interactions / Notes,Where to Buy
The Ordinary Niacinamide 10% + Zinc 1%,The Ordinary,Serum,Niacinamide 10%; Zinc PCA 1%,"Niacinamide, Zinc PCA, Aqua","Oily, Combination, Acne-prone","Controls oil, minimizes pores, clears blemishes, brightens",Mild flushing at >10% for very sensitive skin,4.4,$6,30ml,Yes,Low,Serum (after toner),Morning + Evening,"Do NOT mix with pure vitamin C — wait 10–15 min between; pairs well with hyaluronic acid serum",Cult Beauty / ASOS / The Ordinary website
The Ordinary Hyaluronic Acid 2% + B5,The Ordinary,Serum,Hyaluronic Acid 2%; Vitamin B5,"Hyaluronic Acid (3 molecular weights), Vitamin B5, Pentylene Glycol","Dry, Dehydrated, All types","Deep + surface hydration, plumps, reduces fine lines",May dehydrate in very dry climates without moisturizer on top,4.5,$7,30ml,Yes,Low,Serum (after niacinamide),Morning + Evening,"Apply to damp skin; follow immediately with moisturizer",Cult Beauty / ASOS / The Ordinary website
CeraVe Moisturizing Cream,CeraVe,Moisturizer,"Ceramides 1/3/6-II, Hyaluronic Acid, MVE Technology","Ceramides, Hyaluronic Acid, Petrolatum, Dimethicone, Niacinamide","Dry, Sensitive, Normal","Barrier repair, long-lasting hydration, skin softening","Petrolatum may feel heavy for oily skin in humid climates",4.8,$17,16oz (450g),Yes,Low–Moderate,Moisturizer,Morning + Evening,"Excellent final step; fragrance-free; dermatologist recommended",Drugstore / Chemist Warehouse / Amazon
CeraVe Foaming Facial Cleanser,CeraVe,Cleanser,"Ceramides, Niacinamide, Hyaluronic Acid","Ceramides 1/3/6-II, Niacinamide, Hyaluronic Acid","Normal, Oily, Combination","Removes excess oil, gentle cleanse, non-drying","May feel slightly drying for very dry skin",4.6,$14,12oz (355ml),Yes,None,Cleanser,Morning + Evening,"pH-balanced; maintains barrier while cleansing",Drugstore / Amazon
La Roche-Posay Toleriane Double Repair Face Moisturizer,La Roche-Posay,Moisturizer,"Ceramides, Niacinamide, Prebiotic Thermal Water","Ceramides, Niacinamide, Glycerin, Shea Butter","Sensitive, Dry, Normal","Barrier repair, 48hr hydration, soothes redness","Very well tolerated; rare sensitivity to prebiotic component",4.7,$22,2.5oz (75ml),Yes,Low,Moisturizer,Morning + Evening,"Gentle enough for rosacea; non-comedogenic; dermatologist favourite",Ulta / Target / LRP website
Paula's Choice 2% BHA Liquid Exfoliant,Paula's Choice,Exfoliant,Salicylic Acid 2%,"Salicylic Acid, Green Tea Extract, Methylpropanediol","Oily, Combination, Acne-prone, Blackhead-prone","Unclogs pores, removes blackheads, smooths texture, reduces breakouts","Do NOT use daily when starting — 3x/week first; mild tingling",4.7,$34,4oz (118ml),No — BHA caution in 3rd trimester,Low,Exfoliant (after cleanse/toner),2–3x/week (build up),"Apply with cotton pad; do NOT rinse off; follow with serum + moisturizer; always SPF next AM",Sephora / Paula's Choice website
SkinCeuticals C E Ferulic,SkinCeuticals,Vitamin C Serum,"L-Ascorbic Acid 15%, Vitamin E 1%, Ferulic Acid 0.5%","L-Ascorbic Acid, Alpha-Tocopherol, Ferulic Acid","All types; Mature, Dull skin","Brightens, antioxidant protection, boosts collagen, fades dark spots","Tingling on sensitive skin; high price point; refrigerate after opening",4.8,$182,1oz (30ml),Yes,Low,Serum (AM only),Every morning,"Apply before moisturizer and SPF; gold-standard vitamin C serum; unstable — use within 3 months of opening",Sephora / SkinCeuticals website / Dermstore
Drunk Elephant T.L.C. Framboos Glycolic Night Serum,Drunk Elephant,AHA/BHA Blend,Glycolic Acid; Salicylic Acid; Tartaric Acid; Citric Acid; Lactic Acid,"AHA/BHA blend, Raspberry Fruit Extract, Horse Chestnut Extract","Normal, Oily, Combination, Mature","Resurfaces, brightens, unclogs pores, reduces fine lines","Significant photosensitivity — PM only + SPF next AM mandatory",4.5,$90,1oz (30ml),No,Low,Treatment (PM only),2–3x/week,"Do NOT combine with retinol same night; powerful — start slowly",Sephora / Drunk Elephant website
The Ordinary Retinol 0.5% in Squalane,The Ordinary,Retinol,Retinol 0.5%; Squalane,"Retinol, Squalane","Normal, Aging, Oily, Acne-prone","Cell turnover, anti-aging, fades dark spots, treats acne","Dryness, peeling, redness first 4–6 weeks; photosensitivity",4.3,$10,30ml,No,Low,Treatment (PM only),2–3x/week initially; build to nightly,"PM only; sandwich technique (moisturizer before + after) for beginners; always SPF next AM",Cult Beauty / ASOS / The Ordinary website
Differin Adapalene Gel 0.1%,Differin,Retinoid,Adapalene 0.1%,"Adapalene, Carbomer, Edetate Disodium","Acne-prone, Oily","Treats acne, prevents new breakouts, reduces inflammation, mild anti-aging","Purging phase 4–8 weeks; dryness, peeling; photosensitivity",4.6,$32,45g,No,Low,Treatment (PM only),Every night (after adjustment period),"Unique retinoid — anti-inflammatory; easier to tolerate than retinol for acne; OTC access in US",Drugstore / Amazon / Target
