Ingredient Name,Category,Function,Primary Benefits,Side Effects,Pregnancy Safe,Comedogenic Rating (0-5),pH Range,Skin Types,Key Interactions,Scientific Evidence Level,Notes
Niacinamide,Vitamin,Brightening / Barrier Support,"Reduces pores, controls oil, fades hyperpigmentation, strengthens skin barrier","Mild flushing at >5% in sensitive skin",Yes,0,5.0–7.0,"Oily, Combination, Sensitive, Acne-prone","Synergistic with zinc; do NOT mix with pure Vitamin C (ascorbic acid) at same step — wait 10–15 mins",High,"One of the most well-studied skincare actives. 5% most common; 10% for advanced users"
Retinol,Retinoid,Anti-aging / Cell Turnover,"Reduces fine lines, boosts collagen, fades dark spots, treats acne","Dryness, peeling, redness, photosensitivity (initial weeks)",No — use retinol alternatives,1,"Above 5.5 is ideal; unstable in high pH","Oily, Normal, Aging, Acne-prone","Do NOT combine with AHAs/BHAs same step; avoid with benzoyl peroxide; pair with barrier support",High,"Start 2–3x/week; introduce slowly. Retinaldehyde is a stronger precursor"
Hyaluronic Acid,Humectant,Hydration,"Deep and surface hydration, plumps skin, reduces appearance of fine lines",Rarely causes irritation; can dehydrate if no moisturizer on top in dry climates,Yes,0,5.0–8.0,"All skin types, especially Dry and Dehydrated","Pairs well with ceramides, glycerin, niacinamide",High,"Look for multi-weight HA (high + low molecular weight) for layered hydration"
Salicylic Acid (BHA),Beta Hydroxy Acid,Exfoliation / Acne,"Unclogs pores, reduces blackheads, anti-inflammatory, treats acne","Dryness, over-exfoliation, stinging on broken skin",No (avoid in 3rd trimester),0,3.0–4.0,"Oily, Acne-prone, Combination","Do NOT pair with retinol or strong AHAs in same step; pH-dependent — apply before products above pH 5",High,"Oil-soluble — penetrates sebum in pores. 0.5–2% OTC; 2% BHA in Paula's Choice is benchmark"
Glycolic Acid (AHA),Alpha Hydroxy Acid,Exfoliation / Brightening,"Resurfaces skin texture, fades PIH, brightens dull skin, boosts collagen","Stinging, redness, photosensitivity (always use SPF)",Consult doctor,0,3.0–4.0,"Normal, Oily, Mature, Hyperpigmentation-prone","Do NOT mix with retinol same step; avoid with strong BHAs for beginners; pair with SPF next morning",High,"Smallest AHA molecule — deepest penetration. 5–10% for OTC; 20–70% for professional peels"
Lactic Acid (AHA),Alpha Hydroxy Acid,Exfoliation / Hydration,"Gentle exfoliation, hydrating, brightening, improves texture","Mild stinging; gentler than glycolic",Consult doctor,0,3.0–4.0,"Sensitive, Dry, Mature, Beginners to AHAs","Good starter AHA; combine with ceramides post-use; avoid vitamin C same step",High,"Larger molecule than glycolic — milder. Also a humectant"
Vitamin C (L-Ascorbic Acid),Antioxidant,Brightening / Antioxidant,"Brightens skin, fades dark spots, boosts collagen, protects from UV damage","Instability at wrong pH; tingling on sensitive skin; can cause irritation at high %",Yes,0,Below 3.5,"All skin types; especially Dull, Hyperpigmentation-prone","Avoid with niacinamide (wait 10–15 min); do NOT mix with retinol; pair with Vitamin E for synergy",High,"Highly unstable — look for L-ascorbic acid or more stable derivatives (ascorbyl glucoside, MAP)"
Ceramides,Lipid,Barrier Repair,"Restores skin barrier, retains moisture, reduces sensitivity","Very rare; generally extremely well tolerated",Yes,0–1,5.0–6.5,"All types; especially Dry, Sensitive, Eczema-prone","Pairs with cholesterol and fatty acids for complete barrier repair (3:1:1 ratio ideal); combine with hyaluronic acid",High,"Ceramide 1, 3, 6-II are most effective. CeraVe popularized ceramides in mass skincare"
Zinc PCA,Mineral / Amino Acid Derivative,Oil Control / Acne,"Reduces sebum, antimicrobial, anti-inflammatory","Rarely causes issues; very well tolerated",Yes,0,4.0–7.0,"Oily, Acne-prone, Combination","Pairs with niacinamide for enhanced oil control",Moderate,"Zinc PCA is zinc salt of pyrrolidone carboxylic acid — sebum regulating + healing"
Azelaic Acid,Dicarboxylic Acid,Brightening / Acne,"Fades hyperpigmentation, treats acne and rosacea, anti-inflammatory","Mild tingling; itching on sensitive skin (usually temporary)",Yes — Rx grade is safe,0,4.0–5.5,"Sensitive, Acne-prone, Rosacea, Hyperpigmentation","Can combine with niacinamide; compatible with most actives; gentle enough for daily use",High,"Available OTC 10–15%; prescription at 15–20% (Finacea). Safe during pregnancy unlike retinol"
